word,count_hi,count_lo,log_odds
trust,125,17,0.014405437518899333
crunch,90,12,0.01440543751890111
mall,132,18,0.01440543751890111
group,167,23,0.01440543751890111
dine,160,22,0.01440543751890111
quite,224,31,0.01885978786827991
holy,133,18,0.021896109248057627
finally,296,41,0.024557808982917706
i've,1733,243,0.02951322051087235
option,198,27,0.02959560301287567
items,433,60,0.030665958390680537
item,143,19,0.04257631448559529
entrees,71,9,0.04257631448559529
grill,143,19,0.04257631448559529
wrap,295,40,0.0452826760833398
light,252,34,0.046536715701693154
cajun,93,12,0.0468407132720543
fee,93,12,0.0468407132720543
oven,93,12,0.0468407132720543
yes,390,53,0.048218801884678975
price,1362,187,0.04949675733017056
kind,333,45,0.05099488495119253
cooked,304,41,0.05113744678762977
etc,108,14,0.0517929695905206
services,79,10,0.05262665033909819
new,2350,322,0.05343901378099947
round,72,9,0.05636963661793182
gotta,284,38,0.05742282260259035
anywhere,182,24,0.059105616436808006
incredibly,87,11,0.060925453153794606
added,161,21,0.06504917033765523
full,537,72,0.06589440747698028
bacon,670,90,0.06640491891841815
tonight,331,44,0.06696776760975531
number,169,22,0.06879950958470005
many,539,72,0.06960498687351535
grocery,73,9,0.06997528867371017
taste,859,115,0.07183748660477551
poutine,148,19,0.07670932085505378
party,230,30,0.07692579450023374
wraps,96,12,0.07825690950543418
damn,208,27,0.07862503025319434
surprise,111,14,0.07894395865647219
different,485,64,0.08031664246844361
impressed,171,22,0.08049554934789072
black,254,33,0.08339830900585099
included,74,9,0.08339830900585099
pie,382,50,0.08470464491990715
karaoke,127,16,0.0873122083269866
tots,97,12,0.08851340967262367
noon,82,10,0.08944062346181525
comes,294,38,0.09190899867375979
baby,173,22,0.09205637174896708
mon,105,13,0.09287705296039483
enough,590,77,0.09360247918009357
thursday,181,23,0.0944481451924375
bowl,447,58,0.0957510769728529
quality,949,124,0.09664353575587192
lots,455,59,0.09664353575587192
ask,1308,171,0.09801957756003343
sliders,98,12,0.09866578113664026
you've,98,12,0.09866578113664026
every,1143,149,0.1001461663070744
corner,167,21,0.10141681450853035
york,83,10,0.10141681450853035
salsa,404,52,0.10209044201800399
bit,534,69,0.10226679331023458
including,106,13,0.10226679331023547
usual,137,17,0.10537721572462644
four,137,17,0.10537721572462644
fan,183,23,0.10537721572462821
fruit,176,22,0.10915080510826591
based,84,10,0.11325127215553366
spring,193,24,0.11747762265871486
hang,116,14,0.12261902215913345
wow,616,78,0.12391645990195332
choice,288,36,0.1240040639317943
type,85,10,0.12494731191872432
short,218,27,0.12536250810488347
grab,266,33,0.12938342224767396
outside,448,56,0.13246690837129105
add,417,52,0.13368480743622158
side,875,110,0.13433117808764372
ftw,94,11,0.13746553027612762
coming,907,113,0.14354121867038483
evening,127,15,0.14793683014342207
fyi,95,11,0.14793683014342385
cheese,1602,199,0.14981007452510298
east,152,18,0.15449423068958268
especially,370,45,0.15605595458192756
ahead,354,43,0.15642344402074126
noodle,201,24,0.15788716099659084
crowded,201,24,0.15788716099659084
tons,80,9,0.1603593501419791
greatest,80,9,0.1603593501419791
wish,382,46,0.166382675934174
server,586,71,0.16685398927562822
burgers,546,66,0.16825147149460218
pricey,269,32,0.170409685995482
cheesecake,130,15,0.17110388942495725
sauce,1392,169,0.1719118251931313
sesame,81,9,0.17262944273379333
flavored,73,8,0.17533580433153695
overall,139,16,0.17692436701667447
stuff,313,37,0.1803021146454551
eats,123,14,0.18072665296641333
plenty,173,20,0.18302814995469419
beat,215,25,0.18567715812627128
main,107,12,0.18567715812627128
peanut,132,15,0.18625569444555978
beer,1088,130,0.18631308819539605
available,448,53,0.1865341296415668
west,182,21,0.18693898794669295
cards,174,20,0.18875882466367955
sandwich,1763,210,0.19197639155425694
toppings,225,26,0.19319342173154475
month,133,15,0.1937463661747163
trying,443,52,0.19402793734368995
you'll,376,44,0.19407798614127714
takeout,108,12,0.1948938132311948
happy,1543,183,0.1956912614393227
experience,813,96,0.1957446759627448
plus,387,45,0.2008592315977653
staff,3366,398,0.20131129073479848
pepper,151,17,0.2020040514136987
thank,422,49,0.2038444620817188
chips,533,62,0.20575640103224924
warm,297,34,0.2102407134795774
cream,1046,121,0.21815845460086702
request,85,9,0.2202574917230482
mac,430,49,0.22258037313918866
thanks,353,40,0.22422013489305392
pies,103,11,0.22797953781696023
suggest,103,11,0.22797953781696023
steak,710,81,0.22844847100257493
nice,3131,360,0.22904438724139986
note,86,9,0.23181831412412457
places,488,55,0.23550608720330946
sell,130,14,0.23564241056252833
per,174,19,0.23754898883310993
seat,174,19,0.23754898883310993
chili,323,36,0.2383208916116919
special,1208,137,0.23879045392117515
dinner,1183,134,0.23987432546910892
dish,324,36,0.24140255814910017
mozzarella,87,9,0.24324700994774773
lovers,87,9,0.24324700994774773
buns,87,9,0.24324700994774773
saturday,415,46,0.24903294701479162
well,1345,151,0.24950727782198356
fri,79,8,0.25329734580124885
apple,239,26,0.25329734580124885
filled,97,10,0.2555674943357893
limited,258,28,0.2580275201766504
cookies,169,18,0.25985474634740946
found,457,50,0.26353883985344595
book,98,10,0.2657198657998059
sun,134,14,0.2657198657998059
miss,314,34,0.2657198657998068
plaza,107,11,0.26571986579980766
point,324,35,0.26880153233721504
original,207,22,0.27053915223575586
word,144,15,0.27264030864438027
desert,135,14,0.2730999730974286
they'll,117,12,0.2742305554677156
everyone,408,44,0.2755479547360684
